id,c_rss_id,comment_id,issue_id,comment,sentence,author,tagged,isRelevant,label,isIssue,isAlternative,isPro,isCon,isDecision
11,155,15873,1738,"OK... I broke out of the process of wvdial setting up and got the following message:
dpkg: error processing wvdial  (--configure):
 subprocess post-installation script killed by signal (Interrupt)
It then continued to setting up xfonts-base and other packages...
However, now there seem to be more problems.  Later on down:
dpkg: dependency problems prevent configuration of ubuntu-desktop:
 ubuntu-desktop depends on wvdial; however:
  Package wvdial is not configured yet.
dkpg: error processing ubuntu-desktop (--configure):
 dependency problems - leaving unconfigured
I have a feeling that that can't be good.",OK...,amadeov (amadeo3d),NULL,0,NULL,0,0,0,0,0
12,156,15873,1738,"OK... I broke out of the process of wvdial setting up and got the following message:
dpkg: error processing wvdial  (--configure):
 subprocess post-installation script killed by signal (Interrupt)
It then continued to setting up xfonts-base and other packages...
However, now there seem to be more problems.  Later on down:
dpkg: dependency problems prevent configuration of ubuntu-desktop:
 ubuntu-desktop depends on wvdial; however:
  Package wvdial is not configured yet.
dkpg: error processing ubuntu-desktop (--configure):
 dependency problems - leaving unconfigured
I have a feeling that that can't be good.","I broke out of the process of wvdial setting up and got the following message:
dpkg: error processing wvdial  (--configure):
 subprocess post-installation script killed by signal (Interrupt)
It then continued to setting up xfonts-base and other packages...",amadeov (amadeo3d),NULL,1,issue,1,0,0,0,0
13,157,15873,1738,"OK... I broke out of the process of wvdial setting up and got the following message:
dpkg: error processing wvdial  (--configure):
 subprocess post-installation script killed by signal (Interrupt)
It then continued to setting up xfonts-base and other packages...
However, now there seem to be more problems.  Later on down:
dpkg: dependency problems prevent configuration of ubuntu-desktop:
 ubuntu-desktop depends on wvdial; however:
  Package wvdial is not configured yet.
dkpg: error processing ubuntu-desktop (--configure):
 dependency problems - leaving unconfigured
I have a feeling that that can't be good.","However, now there seem to be more problems.",amadeov (amadeo3d),NULL,1,issue,1,0,0,0,0
14,158,15873,1738,"OK... I broke out of the process of wvdial setting up and got the following message:
dpkg: error processing wvdial  (--configure):
 subprocess post-installation script killed by signal (Interrupt)
It then continued to setting up xfonts-base and other packages...
However, now there seem to be more problems.  Later on down:
dpkg: dependency problems prevent configuration of ubuntu-desktop:
 ubuntu-desktop depends on wvdial; however:
  Package wvdial is not configured yet.
dkpg: error processing ubuntu-desktop (--configure):
 dependency problems - leaving unconfigured
I have a feeling that that can't be good.","Later on down:
dpkg: dependency problems prevent configuration of ubuntu-desktop:
 ubuntu-desktop depends on wvdial; however:
  Package wvdial is not configured yet.",amadeov (amadeo3d),NULL,1,issue,1,0,0,0,0
15,159,15873,1738,"OK... I broke out of the process of wvdial setting up and got the following message:
dpkg: error processing wvdial  (--configure):
 subprocess post-installation script killed by signal (Interrupt)
It then continued to setting up xfonts-base and other packages...
However, now there seem to be more problems.  Later on down:
dpkg: dependency problems prevent configuration of ubuntu-desktop:
 ubuntu-desktop depends on wvdial; however:
  Package wvdial is not configured yet.
dkpg: error processing ubuntu-desktop (--configure):
 dependency problems - leaving unconfigured
I have a feeling that that can't be good.","dkpg: error processing ubuntu-desktop (--configure):
 dependency problems - leaving unconfigured
I have a feeling that that can't be good.",amadeov (amadeo3d),NULL,1,issue,1,0,0,0,0
16,160,15874,1738,"Hi,
amadeov:

> Setting up wvdial (1.56-1.1ubuntu2) ...
>


wvdial tries to talk to your serial ports, trying to find modems.
Long-standing bug, I'm afraid; I reported the same thing a year ago.
--
Matthias Urlichs   |   {M:U} IT Design @ m-u-it.de   |  
Disclaimer: The quote was selected randomly. Really. | http://smurf.noris.de
 - -
And the child had a permanently runny nose and ought to be provided with a
handkerchief or, failing that, a cork.
  -- Terry Pratchett (Lords and Ladies)
","Hi,
amadeov:

> Setting up wvdial (1.56-1.1ubuntu2) ...
>


wvdial tries to talk to your serial ports, trying to find modems.",Matthias Urlichs (smurf),NULL,1,issue,1,0,0,0,0
17,161,15874,1738,"Hi,
amadeov:

> Setting up wvdial (1.56-1.1ubuntu2) ...
>


wvdial tries to talk to your serial ports, trying to find modems.
Long-standing bug, I'm afraid; I reported the same thing a year ago.
--
Matthias Urlichs   |   {M:U} IT Design @ m-u-it.de   |  
Disclaimer: The quote was selected randomly. Really. | http://smurf.noris.de
 - -
And the child had a permanently runny nose and ought to be provided with a
handkerchief or, failing that, a cork.
  -- Terry Pratchett (Lords and Ladies)
","Long-standing bug, I'm afraid; I reported the same thing a year ago.",Matthias Urlichs (smurf),NULL,1,issue,1,0,0,0,0
18,162,15874,1738,"Hi,
amadeov:

> Setting up wvdial (1.56-1.1ubuntu2) ...
>


wvdial tries to talk to your serial ports, trying to find modems.
Long-standing bug, I'm afraid; I reported the same thing a year ago.
--
Matthias Urlichs   |   {M:U} IT Design @ m-u-it.de   |  
Disclaimer: The quote was selected randomly. Really. | http://smurf.noris.de
 - -
And the child had a permanently runny nose and ought to be provided with a
handkerchief or, failing that, a cork.
  -- Terry Pratchett (Lords and Ladies)
","--
Matthias Urlichs   |   {M:U} IT Design @ m-u-it.de   |  
Disclaimer: The quote was selected randomly.",Matthias Urlichs (smurf),NULL,0,NULL,0,0,0,0,0
19,163,15874,1738,"Hi,
amadeov:

> Setting up wvdial (1.56-1.1ubuntu2) ...
>


wvdial tries to talk to your serial ports, trying to find modems.
Long-standing bug, I'm afraid; I reported the same thing a year ago.
--
Matthias Urlichs   |   {M:U} IT Design @ m-u-it.de   |  
Disclaimer: The quote was selected randomly. Really. | http://smurf.noris.de
 - -
And the child had a permanently runny nose and ought to be provided with a
handkerchief or, failing that, a cork.
  -- Terry Pratchett (Lords and Ladies)
",Really.,Matthias Urlichs (smurf),NULL,0,NULL,0,0,0,0,0
20,164,15874,1738,"Hi,
amadeov:

> Setting up wvdial (1.56-1.1ubuntu2) ...
>


wvdial tries to talk to your serial ports, trying to find modems.
Long-standing bug, I'm afraid; I reported the same thing a year ago.
--
Matthias Urlichs   |   {M:U} IT Design @ m-u-it.de   |  
Disclaimer: The quote was selected randomly. Really. | http://smurf.noris.de
 - -
And the child had a permanently runny nose and ought to be provided with a
handkerchief or, failing that, a cork.
  -- Terry Pratchett (Lords and Ladies)
","| http://smurf.noris.de
 - -
And the child had a permanently runny nose and ought to be provided with a
handkerchief or, failing that, a cork.",Matthias Urlichs (smurf),NULL,0,NULL,0,0,0,0,0
21,165,15874,1738,"Hi,
amadeov:

> Setting up wvdial (1.56-1.1ubuntu2) ...
>


wvdial tries to talk to your serial ports, trying to find modems.
Long-standing bug, I'm afraid; I reported the same thing a year ago.
--
Matthias Urlichs   |   {M:U} IT Design @ m-u-it.de   |  
Disclaimer: The quote was selected randomly. Really. | http://smurf.noris.de
 - -
And the child had a permanently runny nose and ought to be provided with a
handkerchief or, failing that, a cork.
  -- Terry Pratchett (Lords and Ladies)
",-- Terry Pratchett (Lords and Ladies),Matthias Urlichs (smurf),NULL,0,NULL,0,0,0,0,0
22,166,15875,1738,"Two years later, and this bug is still present in hardy heron. I had to use the procedure at http://ubuntuforums.org/archive/index.php/t-254688.html to work around it.","Two years later, and this bug is still present in hardy heron.",bcrowell (launchpadcrowell07),NULL,1,issue,1,0,0,0,0
23,167,15875,1738,"Two years later, and this bug is still present in hardy heron. I had to use the procedure at http://ubuntuforums.org/archive/index.php/t-254688.html to work around it.",I had to use the procedure at http://ubuntuforums.org/archive/index.php/t-254688.html to work around it.,bcrowell (launchpadcrowell07),NULL,1,alternative,0,1,0,0,0
24,168,15876,1738,"Same problem upgrading from 11.04 to 11.10.  I have a random number generator connected to /dev/ttyUSB0.  :)  Is that hanging it?  That really shouldn't happen.
I killed wvdialconf and the setup continued.",Same problem upgrading from 11.04 to 11.10.,Endolith (endolith),NULL,1,issue,1,0,0,0,0
25,169,15876,1738,"Same problem upgrading from 11.04 to 11.10.  I have a random number generator connected to /dev/ttyUSB0.  :)  Is that hanging it?  That really shouldn't happen.
I killed wvdialconf and the setup continued.",I have a random number generator connected to /dev/ttyUSB0.,Endolith (endolith),NULL,1,issue,1,0,0,0,0
26,170,15876,1738,"Same problem upgrading from 11.04 to 11.10.  I have a random number generator connected to /dev/ttyUSB0.  :)  Is that hanging it?  That really shouldn't happen.
I killed wvdialconf and the setup continued.",:)  Is that hanging it?,Endolith (endolith),NULL,1,issue,1,0,0,0,0
27,171,15876,1738,"Same problem upgrading from 11.04 to 11.10.  I have a random number generator connected to /dev/ttyUSB0.  :)  Is that hanging it?  That really shouldn't happen.
I killed wvdialconf and the setup continued.",That really shouldn't happen.,Endolith (endolith),NULL,1,issue,1,0,0,0,0
28,172,15876,1738,"Same problem upgrading from 11.04 to 11.10.  I have a random number generator connected to /dev/ttyUSB0.  :)  Is that hanging it?  That really shouldn't happen.
I killed wvdialconf and the setup continued.",I killed wvdialconf and the setup continued.,Endolith (endolith),NULL,1,alternative,0,1,0,0,0
29,1074,16757,1798,"[This is an automated message]
Hi justinkinnaird,
Please attach the output of `lspci -vvnn`, and attach your /var/log/Xorg.0.log file from after reproducing this issue.  If you've made any customizations to your /etc/X11/xorg.conf please attach that as well.
Please attach the output of `lspci -vvnn` too.","[This is an automated message]
Hi justinkinnaird,
Please attach the output of `lspci -vvnn`, and attach your /var/log/Xorg.0.log file from after reproducing this issue.",Bryce Harrington (bryce),NULL,0,NULL,0,0,0,0,0
30,1075,16757,1798,"[This is an automated message]
Hi justinkinnaird,
Please attach the output of `lspci -vvnn`, and attach your /var/log/Xorg.0.log file from after reproducing this issue.  If you've made any customizations to your /etc/X11/xorg.conf please attach that as well.
Please attach the output of `lspci -vvnn` too.",If you've made any customizations to your /etc/X11/xorg.conf please attach that as well.,Bryce Harrington (bryce),NULL,0,NULL,0,0,0,0,0
31,1076,16757,1798,"[This is an automated message]
Hi justinkinnaird,
Please attach the output of `lspci -vvnn`, and attach your /var/log/Xorg.0.log file from after reproducing this issue.  If you've made any customizations to your /etc/X11/xorg.conf please attach that as well.
Please attach the output of `lspci -vvnn` too.",Please attach the output of `lspci -vvnn` too.,Bryce Harrington (bryce),NULL,0,NULL,0,0,0,0,0
32,1077,16759,1798,"Installing the svn version of openchrome on Intrepid works fine, but in Jaunty still seems to fail... I'll post my xorg log when I can.","Installing the svn version of openchrome on Intrepid works fine, but in Jaunty still seems to fail...",Teknics (justinkinnaird),NULL,1,issue,1,0,0,0,0
33,1078,16759,1798,"Installing the svn version of openchrome on Intrepid works fine, but in Jaunty still seems to fail... I'll post my xorg log when I can.",I'll post my xorg log when I can.,Teknics (justinkinnaird),NULL,0,NULL,0,0,0,0,0
34,1079,16760,1798,similar problem https://bugs.launchpad.net/xserver-xorg-driver-vesa/+bug/293326?,similar problem https://bugs.launchpad.net/xserver-xorg-driver-vesa/+bug/293326?,Teknics (justinkinnaird),NULL,1,issue,1,0,0,0,0
35,1080,16761,1798,"Then attach Xorg.0.log
Try use CTRL+ALT+F1, or just attach Xorg.log.old or Xorg.failsafe.log file after reboot.
Please again  build, install the latest openchrome version according to:
https://help.ubuntu.com/community/OpenChrome","Then attach Xorg.0.log
Try use CTRL+ALT+F1, or just attach Xorg.log.old or Xorg.failsafe.log file after reboot.",pinzia (pinzia),NULL,1,alternative,0,1,0,0,0
36,1081,16761,1798,"Then attach Xorg.0.log
Try use CTRL+ALT+F1, or just attach Xorg.log.old or Xorg.failsafe.log file after reboot.
Please again  build, install the latest openchrome version according to:
https://help.ubuntu.com/community/OpenChrome","Please again  build, install the latest openchrome version according to:
https://help.ubuntu.com/community/OpenChrome",pinzia (pinzia),NULL,1,alternative,0,1,0,0,0
37,1082,16762,1798,"Try to disable DRI.
I created the patch which disable DRI (it use swrast instead)
Check if it works for you.
The detail build instruction for Ubuntu/Debian is available at:
https://help.ubuntu.com/community/OpenChrome
Attach your /var/log/Xorg.0.log file.",Try to disable DRI.,Bartosz Kosiorek (gang65),NULL,1,alternative,0,1,0,0,0
38,1083,16762,1798,"Try to disable DRI.
I created the patch which disable DRI (it use swrast instead)
Check if it works for you.
The detail build instruction for Ubuntu/Debian is available at:
https://help.ubuntu.com/community/OpenChrome
Attach your /var/log/Xorg.0.log file.","I created the patch which disable DRI (it use swrast instead)
Check if it works for you.",Bartosz Kosiorek (gang65),NULL,1,alternative,0,1,0,0,0
39,1084,16762,1798,"Try to disable DRI.
I created the patch which disable DRI (it use swrast instead)
Check if it works for you.
The detail build instruction for Ubuntu/Debian is available at:
https://help.ubuntu.com/community/OpenChrome
Attach your /var/log/Xorg.0.log file.","The detail build instruction for Ubuntu/Debian is available at:
https://help.ubuntu.com/community/OpenChrome
Attach your /var/log/Xorg.0.log file.",Bartosz Kosiorek (gang65),NULL,0,NULL,0,0,0,0,0
40,1085,16763,1798,"This graphics chip doesn't work with Lucid currently (it was fine in earlier versions). On the current kernels (2.6.32-16-generic and 2.6.32-17-generic), I am unable to boot. Using the old kernel (2.6.31-19-generic), Ubuntu can boot but running 'startx' makes the system hang. Using vesa always fails.
Will try disabling DRI.",This graphics chip doesn't work with Lucid currently (it was fine in earlier versions).,Bartosz Kosiorek (gang65),NULL,1,issue,1,0,0,0,0
41,1086,16763,1798,"This graphics chip doesn't work with Lucid currently (it was fine in earlier versions). On the current kernels (2.6.32-16-generic and 2.6.32-17-generic), I am unable to boot. Using the old kernel (2.6.31-19-generic), Ubuntu can boot but running 'startx' makes the system hang. Using vesa always fails.
Will try disabling DRI.","On the current kernels (2.6.32-16-generic and 2.6.32-17-generic), I am unable to boot.",Bartosz Kosiorek (gang65),NULL,1,issue,1,0,0,0,0
42,1087,16763,1798,"This graphics chip doesn't work with Lucid currently (it was fine in earlier versions). On the current kernels (2.6.32-16-generic and 2.6.32-17-generic), I am unable to boot. Using the old kernel (2.6.31-19-generic), Ubuntu can boot but running 'startx' makes the system hang. Using vesa always fails.
Will try disabling DRI.","Using the old kernel (2.6.31-19-generic), Ubuntu can boot but running 'startx' makes the system hang.",Bartosz Kosiorek (gang65),NULL,1,issue,1,0,0,0,0
43,1088,16763,1798,"This graphics chip doesn't work with Lucid currently (it was fine in earlier versions). On the current kernels (2.6.32-16-generic and 2.6.32-17-generic), I am unable to boot. Using the old kernel (2.6.31-19-generic), Ubuntu can boot but running 'startx' makes the system hang. Using vesa always fails.
Will try disabling DRI.",Using vesa always fails.,Bartosz Kosiorek (gang65),NULL,1,issue,1,0,0,0,0
44,1089,16763,1798,"This graphics chip doesn't work with Lucid currently (it was fine in earlier versions). On the current kernels (2.6.32-16-generic and 2.6.32-17-generic), I am unable to boot. Using the old kernel (2.6.31-19-generic), Ubuntu can boot but running 'startx' makes the system hang. Using vesa always fails.
Will try disabling DRI.",Will try disabling DRI.,Bartosz Kosiorek (gang65),NULL,1,alternative,0,1,0,0,0
45,1090,16765,1798,"Disabling DRI did it for me, but only using the old (Karmic) kernel. Including the (very minimal) configuration file for Teknics.","Disabling DRI did it for me, but only using the old (Karmic) kernel.",Paul van Genderen (paulvg),NULL,1,"alternative, pro",0,1,1,0,0
46,1091,16765,1798,"Disabling DRI did it for me, but only using the old (Karmic) kernel. Including the (very minimal) configuration file for Teknics.",Including the (very minimal) configuration file for Teknics.,Paul van Genderen (paulvg),NULL,0,NULL,0,0,0,0,0
47,1092,16766,1798,"### Trying to test Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1
I can't install Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1 because X will not work with my graphics card. When I boot from the DVD, I see a screen that says Ubuntu 13.10, with a row of scrolling dots under it. I expect this to happen and then for an xsession to start with the installer dialogue. After a while, the screen goes blank and I Have to swith to a different TTY. At the different TTY I can see login text, so I can only assume that X has failed to start the graphical session for my VGA card, which lspci identifies as:
VGA compatible controller: VIA Technologies, Inc. KM400/KN400/P4M800 [S3 UniChrome] (rev 01)
I would really like to test the new beta release, and especially the new Mir stuff. Please let me know if I can provide information to help with this bug, and in the meantime, i'll look for a workround.
Many thanks,
Chris.","### Trying to test Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1
I can't install Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1 because X will not work with my graphics card.",Paul van Genderen (paulvg),NULL,1,issue,1,0,0,0,0
48,1093,16766,1798,"### Trying to test Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1
I can't install Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1 because X will not work with my graphics card. When I boot from the DVD, I see a screen that says Ubuntu 13.10, with a row of scrolling dots under it. I expect this to happen and then for an xsession to start with the installer dialogue. After a while, the screen goes blank and I Have to swith to a different TTY. At the different TTY I can see login text, so I can only assume that X has failed to start the graphical session for my VGA card, which lspci identifies as:
VGA compatible controller: VIA Technologies, Inc. KM400/KN400/P4M800 [S3 UniChrome] (rev 01)
I would really like to test the new beta release, and especially the new Mir stuff. Please let me know if I can provide information to help with this bug, and in the meantime, i'll look for a workround.
Many thanks,
Chris.","When I boot from the DVD, I see a screen that says Ubuntu 13.10, with a row of scrolling dots under it.",Paul van Genderen (paulvg),NULL,1,issue,1,0,0,0,0
49,1094,16766,1798,"### Trying to test Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1
I can't install Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1 because X will not work with my graphics card. When I boot from the DVD, I see a screen that says Ubuntu 13.10, with a row of scrolling dots under it. I expect this to happen and then for an xsession to start with the installer dialogue. After a while, the screen goes blank and I Have to swith to a different TTY. At the different TTY I can see login text, so I can only assume that X has failed to start the graphical session for my VGA card, which lspci identifies as:
VGA compatible controller: VIA Technologies, Inc. KM400/KN400/P4M800 [S3 UniChrome] (rev 01)
I would really like to test the new beta release, and especially the new Mir stuff. Please let me know if I can provide information to help with this bug, and in the meantime, i'll look for a workround.
Many thanks,
Chris.",I expect this to happen and then for an xsession to start with the installer dialogue.,Paul van Genderen (paulvg),NULL,0,NULL,0,0,0,0,0
50,1095,16766,1798,"### Trying to test Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1
I can't install Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1 because X will not work with my graphics card. When I boot from the DVD, I see a screen that says Ubuntu 13.10, with a row of scrolling dots under it. I expect this to happen and then for an xsession to start with the installer dialogue. After a while, the screen goes blank and I Have to swith to a different TTY. At the different TTY I can see login text, so I can only assume that X has failed to start the graphical session for my VGA card, which lspci identifies as:
VGA compatible controller: VIA Technologies, Inc. KM400/KN400/P4M800 [S3 UniChrome] (rev 01)
I would really like to test the new beta release, and especially the new Mir stuff. Please let me know if I can provide information to help with this bug, and in the meantime, i'll look for a workround.
Many thanks,
Chris.","After a while, the screen goes blank and I Have to swith to a different TTY.",Paul van Genderen (paulvg),NULL,1,issue,1,0,0,0,0
51,1096,16766,1798,"### Trying to test Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1
I can't install Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1 because X will not work with my graphics card. When I boot from the DVD, I see a screen that says Ubuntu 13.10, with a row of scrolling dots under it. I expect this to happen and then for an xsession to start with the installer dialogue. After a while, the screen goes blank and I Have to swith to a different TTY. At the different TTY I can see login text, so I can only assume that X has failed to start the graphical session for my VGA card, which lspci identifies as:
VGA compatible controller: VIA Technologies, Inc. KM400/KN400/P4M800 [S3 UniChrome] (rev 01)
I would really like to test the new beta release, and especially the new Mir stuff. Please let me know if I can provide information to help with this bug, and in the meantime, i'll look for a workround.
Many thanks,
Chris.","At the different TTY I can see login text, so I can only assume that X has failed to start the graphical session for my VGA card, which lspci identifies as:
VGA compatible controller: VIA Technologies, Inc. KM400/KN400/P4M800 [S3 UniChrome] (rev 01)
I would really like to test the new beta release, and especially the new Mir stuff.",Paul van Genderen (paulvg),NULL,1,issue,1,0,0,0,0
52,1097,16766,1798,"### Trying to test Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1
I can't install Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1 because X will not work with my graphics card. When I boot from the DVD, I see a screen that says Ubuntu 13.10, with a row of scrolling dots under it. I expect this to happen and then for an xsession to start with the installer dialogue. After a while, the screen goes blank and I Have to swith to a different TTY. At the different TTY I can see login text, so I can only assume that X has failed to start the graphical session for my VGA card, which lspci identifies as:
VGA compatible controller: VIA Technologies, Inc. KM400/KN400/P4M800 [S3 UniChrome] (rev 01)
I would really like to test the new beta release, and especially the new Mir stuff. Please let me know if I can provide information to help with this bug, and in the meantime, i'll look for a workround.
Many thanks,
Chris.","Please let me know if I can provide information to help with this bug, and in the meantime, i'll look for a workround.",Paul van Genderen (paulvg),NULL,0,NULL,0,0,0,0,0
53,1098,16766,1798,"### Trying to test Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1
I can't install Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1 because X will not work with my graphics card. When I boot from the DVD, I see a screen that says Ubuntu 13.10, with a row of scrolling dots under it. I expect this to happen and then for an xsession to start with the installer dialogue. After a while, the screen goes blank and I Have to swith to a different TTY. At the different TTY I can see login text, so I can only assume that X has failed to start the graphical session for my VGA card, which lspci identifies as:
VGA compatible controller: VIA Technologies, Inc. KM400/KN400/P4M800 [S3 UniChrome] (rev 01)
I would really like to test the new beta release, and especially the new Mir stuff. Please let me know if I can provide information to help with this bug, and in the meantime, i'll look for a workround.
Many thanks,
Chris.","Many thanks,
Chris.",Paul van Genderen (paulvg),NULL,0,NULL,0,0,0,0,0
54,1342,18687,1960,"my result of sort -u x.sorted.utf8 > x.sorted.uniq.utf8
I do this in lucid and natty, got the same problem.","my result of sort -u x.sorted.utf8 > x.sorted.uniq.utf8
I do this in lucid and natty, got the same problem.",An Yang (euroford),NULL,1,issue,1,0,0,0,0
55,1343,18688,1960,"my x.diff file, sort -u erase 686 chinese characters.","my x.diff file, sort -u erase 686 chinese characters.",An Yang (euroford),NULL,0,NULL,0,0,0,0,0
56,1344,18689,1960,"If I set LANG to en_US.utf8, sort -u erase 2716 chinese characters.
See attachment please.","If I set LANG to en_US.utf8, sort -u erase 2716 chinese characters.",An Yang (euroford),NULL,0,NULL,0,0,0,0,0
57,1345,18689,1960,"If I set LANG to en_US.utf8, sort -u erase 2716 chinese characters.
See attachment please.",See attachment please.,An Yang (euroford),NULL,0,NULL,0,0,0,0,0
58,1346,18690,1960,"The reason is eglibc/glibc just supports CJK UNIFIED IDEOGRAPH (- ) defined in  iso10646:1993.
EGlibc/glibc lack support of CJK UNIFIED IDEOGRAPH A/B/C/D defined in iso10646:2011.",The reason is eglibc/glibc just supports CJK UNIFIED IDEOGRAPH (- ) defined in  iso10646:1993.,An Yang (euroford),NULL,1,issue,1,0,0,0,0
59,1347,18690,1960,"The reason is eglibc/glibc just supports CJK UNIFIED IDEOGRAPH (- ) defined in  iso10646:1993.
EGlibc/glibc lack support of CJK UNIFIED IDEOGRAPH A/B/C/D defined in iso10646:2011.",EGlibc/glibc lack support of CJK UNIFIED IDEOGRAPH A/B/C/D defined in iso10646:2011.,An Yang (euroford),NULL,1,issue,1,0,0,0,0
60,1348,18691,1960,"Sorry, lost a word.
EGlibc/glibc lack support of CJK UNIFIED IDEOGRAPH EXTENSION A/B/C/D defined in iso10646:2011.
CJK UNIFIED IDEOGRAPH EXTENSION A is included in GB18030:2005, and GB18030:2005 is the China locale standard.","Sorry, lost a word.",An Yang (euroford),NULL,0,NULL,0,0,0,0,0
61,1349,18691,1960,"Sorry, lost a word.
EGlibc/glibc lack support of CJK UNIFIED IDEOGRAPH EXTENSION A/B/C/D defined in iso10646:2011.
CJK UNIFIED IDEOGRAPH EXTENSION A is included in GB18030:2005, and GB18030:2005 is the China locale standard.",EGlibc/glibc lack support of CJK UNIFIED IDEOGRAPH EXTENSION A/B/C/D defined in iso10646:2011.,An Yang (euroford),NULL,1,issue,1,0,0,0,0
