id,title,count
1039,Mailto link in HTML email becomes duplicated e-mail address in plain text email,7
1047,rewrap produces inconsistent results,8
1049,"LDAP search/autocomplete using SSL doesn&apos;t work for TB 31.0 any loger, without SSL it still works.",10
1079,Hardware acceleration may cause message compose window to lag severely (in unknown circumstances),18
1133,Reply-All sometimes replies only to sender with only sender wrote: in message body,12
1143,Delete key changes formatting in prior text instead of removing line break after,7
1160,Text wrongly marked as quoted when composing a reply,6
1176,Copy or cut and paste removes spaces within write window of Thunderbird,6
1185,Fix to e-mail addresses that have a &apos; (MS Outlook 2013),7
1202,Removing text in the HTML composer changes current font,12
1209,Ctrl+drag moves selected text (instead of copying) on Linux,6
1217,Full Screen Mail Compose window not closed after sending mail (OS X 10.8),10
1224,rewrap destroys newline character,7
1257,Emails sent to wrong recipients,11
1355,Linkify text-only URLs e.g. http://foo.bar in HTML messages when shown in message reader,6
1364,impossible to copy-paste parts of a link without visiting it.  text select opens link,7
1375,"base64 encoded email even in text-only view causes 100% cpu load and never displays, hangs gui and thunderbird.exe process completely",21
1388,"When ICS attached, Lightning enabled ONLY event is visible not the email",6
1404,Provide user interface for Gmail labels (X-GM-LABELS),14
1405,unexpected inheritance of colors through tables in thunderbird html mails,9
1443,BiDi Mail UI direction auto-detection busted by recent(ish) changes,10
1445,"When performing a Mail import from the Tools menu of the Thunderbird application, after choosing either Outlook or Outlook express the user is not prompted to select the folders that is desired to be imported.  Instead it imports all the mail folders.",7
1481,C-C ldap directory: fix -Werror=sign-compare: signed vs unsigned warnings (now treated as errors),7
1484,We don&apos;t register Thunderbird as the default .eml handler on Mac,6
1487,new mail notification taskbar icon remains on program exit,14
1535,Add UI for clearing Visited Link/Browsing History when Thunderbird closes,8
1542,Large number of tags causes very bad tags preference UI performance (from autotaging RSS feeds),13
1572,"imap messages archived to local folders still indexed on Inbox, not on archive folder [faceted search results]  (fixed by rebuilding gloda database)",6
1603,Quick filter UI is unresponsive after a quick search triggers,9
1606,Crash in nsMsgSearchTerm::MatchString / nsMsgSearchTerm::MatchRfc2047String,7
1607,Crash in nsDocumentOpenInfo::OnStartRequest,6
1611,"gloda implications of indexing / downloading email with hundreds of email addresses, memory usage rises to ~300MB/sec until it crashes",28
1635,S/MIME signature wrongly reported as invalid,6
1705,Upgrade of Thunderbird to 45.2 Password handshake fails,7
1712,timeout / popup failures in thunderbird mozmill test: lack of proper synchronization in test programs,17
1728,Thunderbird does not display strong plain text tag correctly.,6
1734,Chat - ugly border around avatar on the right,6
1760,"Toolbar in message-header pane lacks icons present in the main toolbar, no longer accessible in a message tab",8
1763,menu bar should be on top - not inside tab,6
1799,"GUI bug: emails don&apos;t appear in local inbox thread pane, but do appear in global inbox thread pane.",6
1832,Almost impossible to write a new email (system unresponsive) while many new messages to be synchronised from IMAP server,12
1849,imap emails re-download constantly for all accounts; summary inbox error message,6
1871,Multiple draft copies saved,6
1881,&apos;Always prefer display name over message header&apos; not always honoured for at least one address,7
1956,unable to overwrite functions in addons with dom.compartment_per_addon = true,15
