@relation rationale
@attribute sentence string
@attribute isIssue {0,1}
@attribute isAlternative {0,1}
@attribute isPro {0,1}
@attribute isCon {0,1}
@attribute isDecision {0,1}
@data
'If I set LANG to en_US.utf8, sort -u erase 2716 chinese characters.',0,0,0,0,0
'See attachment please.',0,0,0,0,0
'The reason is eglibc/glibc just supports CJK UNIFIED IDEOGRAPH (- ) defined in  iso10646:1993.',1,0,0,0,0
'EGlibc/glibc lack support of CJK UNIFIED IDEOGRAPH A/B/C/D defined in iso10646:2011.',1,0,0,0,0
'Sorry, lost a word.',0,0,0,0,0
'EGlibc/glibc lack support of CJK UNIFIED IDEOGRAPH EXTENSION A/B/C/D defined in iso10646:2011.',1,0,0,0,0
'CJK UNIFIED IDEOGRAPH EXTENSION A is included in GB18030:2005, and GB18030:2005 is the China locale standard.',0,0,0,0,0
'All of the lost 686 Chinese characters locate in CJK UNIFIED IDEOGRAPH EXTENSION A block.',0,0,0,0,0
'Created attachment 5880\nexample characters in CJK extension A.',0,0,0,0,0
'Something is wrong in iso14651_t1_pinyin and iso14651_t1',1,0,0,0,0
'This patch can fix this bug, when sort -u was executed in any LANG except for zh_CN.',0,1,0,0,0
'There are 25496 Chinese characters in iso14651_t1_pinyin, most of them distribute over CJK unified ideographs and CJK unified ideographs extension A.',0,0,1,0,0
'But there are 27552 Chinese characters in CJK unified ideographs and extension A, more than 2000 Chinese characters without pinyin were losted.',1,0,0,0,0
'So my suggestion is just add the losted characters at the end of the iso14651_t1_pinyin, in the order of unicode.',0,1,0,0,0
'Could you give me any feedback?',0,0,0,0,0
"Status changed to 'Confirmed' because the bug affects multiple users.",0,0,0,0,1
'I get exactly the same messages as in comment #3.',0,0,0,0,0
'This happens on an upgraded Oneiric, using a PPA (https://launchpad.net/~ferramroberto/+archive/minitube) for the Minitube version 1.6',1,0,0,0,0
'Negative on that.',0,0,0,0,0
'I have phonon installed here with the gstreamer backend.',1,0,0,0,0
'Minitube really is complaining about a missing plug-in for the Quicktime protocol, not about a missing generic multimedia backend.',1,0,0,0,0
'Ok, it works for me now\npuhhh :-)\nFound the solution in this thread https://bbs.archlinux.org/viewtopic.php?pid=951463#p951463\nsudo ln -s /usr/lib/gstreamer-0.10/libgstisomp4.so /usr/lib/gstreamer-0.10/libgstqtdemux.so\net voilà!',0,1,1,0,0
'I upgraded from Ubuntu 11.04 to 11.10 on two machines, but only one machine was causing troubles with minitube.',1,0,0,0,0
'And in addition, minitubes works out-of-the-box in a 11.10 LiveSystem.',0,0,1,0,0
'Something must have been screwed up on my second machine...',0,0,0,0,0
"It appears that 'gstreamer0.10-plugins-good' used to provide /usr/lib/gstreamer-0.10/libgstqtdemux.so until Natty.",1,0,0,0,0
'This is no longer the case since Oneiric and it breaks some user applications, as seen above with Minitube.',1,0,0,0,0
"Status changed to 'Confirmed' because the bug affects multiple users.",0,0,0,0,1
'This issue has returned to Precise.',0,0,0,0,0
'However, the workaround no longer works, because libgstisomp4.so has changed location:\n/usr/lib/i386-linux-gnu/gstreamer-0.10/libgstisomp4.so',1,0,0,0,0
"Status changed to 'Confirmed' because the bug affects multiple users.",0,0,0,0,1
'I get exactly the same messages as in comment #3.',0,0,0,0,0
'This happens on an upgraded Oneiric, using a PPA (https://launchpad.net/~ferramroberto/+archive/minitube) for the Minitube version 1.6',1,0,0,0,0
'Negative on that.',0,0,0,0,0
'I have phonon installed here with the gstreamer backend.',1,0,0,0,0
'Minitube really is complaining about a missing plug-in for the Quicktime protocol, not about a missing generic multimedia backend.',1,0,0,0,0
'Ok, it works for me now\npuhhh :-)\nFound the solution in this thread https://bbs.archlinux.org/viewtopic.php?pid=951463#p951463\nsudo ln -s /usr/lib/gstreamer-0.10/libgstisomp4.so /usr/lib/gstreamer-0.10/libgstqtdemux.so\net voilà!',0,1,1,0,0
'I upgraded from Ubuntu 11.04 to 11.10 on two machines, but only one machine was causing troubles with minitube.',1,0,0,0,0
'And in addition, minitubes works out-of-the-box in a 11.10 LiveSystem.',0,0,1,0,0
'Something must have been screwed up on my second machine...',0,0,0,0,0
"It appears that 'gstreamer0.10-plugins-good' used to provide /usr/lib/gstreamer-0.10/libgstqtdemux.so until Natty.",1,0,0,0,0
'This is no longer the case since Oneiric and it breaks some user applications, as seen above with Minitube.',1,0,0,0,0
"Status changed to 'Confirmed' because the bug affects multiple users.",0,0,0,0,1
'This issue has returned to Precise.',0,0,0,0,0
'However, the workaround no longer works, because libgstisomp4.so has changed location:\n/usr/lib/i386-linux-gnu/gstreamer-0.10/libgstisomp4.so',1,0,0,0,0
'Sorry, I said getgroups in my original post, and I should have said getgrouplist.',0,0,0,0,0
"Status changed to 'Confirmed' because the bug affects multiple users.",0,0,0,0,1
"Thank you for your bug report, that seems like the sort of issues that should be discussed upstream, somebody should report a bug on https://bugs.freedesktop.org/enter_bug.cgi?product=accountsservice\nWhile the issue is an important one it's limited to some big deployments and those can probably uninstall accountsservices (lightdm will fallback if it's not sure), ideally we would work on the issue but we have limited resources and it's not on the priority list",0,0,0,1,0
'Original report: https://bugs.launchpad.net/bugs/941673\nThe performance of accounts-daemon is unacceptable with large password and/or group files.',1,0,0,0,0
'We have appoximately 40000 users in the passwords file and 16000 lines in the group file.',0,0,0,0,0
'Having looked at the source, it appears to me the problem is that for each user is pulls from the password database (via getpwXXX)  its then calls getgrouplist to return the users list of groups.',1,0,0,0,0
'Getgroups must make a complete pass through the group file to determine the groups for the user.',0,1,0,0,0
'When initializing this results in\nreading the groups file 40000 times.',1,0,0,0,0
'I think a better solution is to build a inverted group file map then first time getgroups is called by reading the entire group database and building a data structure indexed by username where a users group list can by found in a single lookup.',0,1,1,0,0
'Of couse, an even better solution would be for getgroups to do that itself, but that would require much larger code changes.',0,1,1,1,0
'I tried installed nscd to see if this would make a difference but no\ndice.',0,1,0,1,0
'Thank you for your bug report.',0,0,0,0,0
'This bug has been reported to the developers of the software.',0,0,0,0,0
'You can track it and make comments at https://bugs.freedesktop.org/show_bug.cgi?id=48177',0,0,0,0,0
'maybe we could just bail if there are greater than N found users.',0,1,0,0,0
'The problem then is finding a suitable value of N.',1,0,0,0,0
'Hi Guys,\nAs a workaround for the time being one could do the following (tested on 12.04):\nRemove accountsservice\nsudo apt-get remove accountsservice\nEdit /etc/lightdm/lightdm.conf and add the following line :\ngreeter-hide-users=true\nThen restart lightdm or reboot the machine:\nsudo service lightdm restart\nLeonardo Borda',0,1,0,0,0
'FYI,\nI think I have a workaround for this problem by putting\nUID_MIN 9999999\ninto /etc/gdm/custom.conf\nThis seems fragile since I am not sure the interaction of accountsservices and custom.conf is stable or documented but it appears to solve the problem.',0,1,1,1,0
'Of course, this is not a general solution for all sites, but happens to work for me.',0,0,1,1,0
'Created attachment 65941\nproposed patch\nlimit the no of user listed by a-s to UID_MAX.',0,1,0,0,0
'Also, sets user-limit to true when this condition is meet, allowing apps like gdm/lightdm to enable manual login option.',0,1,0,0,0
'Talked with Ritesh about this bug today on IRC.',0,0,0,0,0
"He's going to look into using fgetgrent to create the hash table of local groups and use that.",0,1,0,0,0
'Created attachment 66171\nproposed patch',0,1,0,0,0
'ritz, any chance you could get this applying against master (preferably as a git-format-patch formatted patch) ?',0,0,0,0,0
'Our setup is affected by this bug when the ldap server is offline.',1,0,0,0,0
"What is the proper way to disable accounts service and 'fallback lightdm' ?",1,0,0,0,0
"I removed accountsservice and everything works fine except that a handful of packets depend on it (Ubuntu 10.04)\n* The following packages will be REMOVED:\n*  accountsservice gdm gnome-control-center indicator-datetime indicator-power language-selector-common\n* language-selector-gnome ubuntu-desktop ubuntu-standard\nI really don't see why all these dependencies exist.",1,1,1,1,0
"Isn't there supposed to be an alternative ?",1,0,0,0,0
'any updates on this?',0,0,0,0,0
'On Fri, Jan 04, 2013 at 04:20:15PM -0000, Rstrode wrote:\n\n> any updates on this?',0,0,0,0,0
'Errr...',0,0,0,0,0
'I am not working on this.',0,0,0,0,0
'I just reported it.',0,0,0,0,0
'I managed a work around so the problem went away for me.',0,0,0,0,0
'Regards,\npdg',0,0,0,0,0
'Created attachment 74177\npatch\ninitial patch, against latest release.',0,1,0,0,0
'still need to work quirk against entry_generator_wtmp.',1,0,0,0,0
'It calls getpwnam for every entry ( even if it is a duplicate entry ).',1,0,0,0,0
'any chance you could update this again for git master?',0,0,0,0,0
'This bug is missing log files that will aid in diagnosing the problem.',0,0,0,0,0
"From a terminal window please run:\napport-collect 1160543\nand then change the status of the bug to 'Confirmed'.",0,0,0,0,1
"If, due to the nature of the issue you have encountered, you are unable to run this command, please add a comment stating that fact and change the bug status to 'Confirmed'.",0,0,0,0,1
'This change has been made by an automated script, maintained by the Ubuntu Kernel Team.',0,0,0,0,0
'Can you reproduce the crash, or was it a one time event?',0,0,0,0,0
'If there is a somewhat reliable reproducer, we could try some patches.',0,0,0,0,0
'I think this might be the same issue that is currently in the progress of getting patches pushed upstream [1]:\n* [PATCH 1/2] x86: mm: Fix vmalloc_fault oops during lazy MMU updates.',1,0,0,0,0
'* [PATCH 2/2] mm/x86: Patch out arch_flush_lazy_mmu_mode() when running on bare metal\n[1] http://www.spinics.net/lists/stable/msg02839.html',0,1,0,0,0
'apport information',0,0,0,0,0
'apport information',0,0,0,0,0
'apport information',0,0,0,0,0
'apport information',0,0,0,0,0
'apport information',0,0,0,0,0
'apport information',0,0,0,0,0
"Unrelated to this bug, but likely something Brad's bot should be aware of.",0,0,0,0,0
"I did:\n$ apport-collect 1160543\nYou need to run 'sudo apt-get install python-apport' for apport-collect to work.",0,1,0,0,0
'$ sudo apt-get install python-apport -y\n$ apport-collect 1160543\nERROR: The launchpadlib Python module is not installed.',1,0,0,0,0
'This functionality is not available.',1,0,0,0,0
'$ sudo apt-get install python-launchpadlib -y\n$ apport-collect 1160543\n*this* time it worked (surprisingly, 2 factor Oauth even worked through w3m!)',0,1,0,0,0
'This change was made by a bot.',0,0,0,0,0
'Tested with 3.14-rc6, crash occurred in about 1 hour.',1,0,0,0,0
'This issue appears to be an upstream bug, since you tested the latest upstream kernel.',0,0,0,0,0
'Would it be possible for you to open an upstream bug report[0]?',0,0,0,0,0
'That will allow the upstream Developers to examine the issue, and may provide a quicker resolution to the bug.',0,0,0,0,0
'Please follow the instructions on the wiki page[0].',0,0,0,0,0
'The first step is to email the appropriate mailing list.',0,0,0,0,0
'If no response is received, then a bug may be opened on bugzilla.kernel.org.',0,0,0,0,0
"Once this bug is reported upstream, please add the tag: 'kernel-bug-reported-upstream'.",0,0,0,0,0
'[0] https://wiki.ubuntu.com/Bugs/Upstream/kernel',0,0,0,0,0
'Submited upstream bug https://bugzilla.kernel.org/show_bug.cgi?id=72471',0,0,0,0,0
'Is this issue resolved?',0,0,0,0,0
'i am also facing crash in skb_push function while adding mac header in data .... can anyone help for this please .... :(',1,0,0,0,0
'This bug has been reported on the Ubuntu ISO testing tracker.',0,0,0,0,0
'A list of all reports related to this bug can be found here:\nhttp://iso.qa.ubuntu.com/qatracker/reports/bugs/1297851',1,0,0,0,0
'I can also confirm this with Kubuntu + Virtual Box , even after the ISO is ejected from Virtual Box, the machine does not reboot.',1,0,0,0,0
'This seems to be resolved with the newer iso image 20140326 but will keep the bug open and my eyes open for it cropping up again.',0,0,0,0,1
'Setting importance to high because it affects not only uefi but all kind of system.',1,0,0,0,0
'In VMs it sometimes reboots correctly but rarely.',1,0,0,0,0
'When this fixed in 14.04 Trusty Tahr for 14.04.1 (24 July)?',0,0,0,0,0
'Happened to me with an old PC previously with win xp, installed lubuntu from DVD, rebooted, asked to press enter, did so, did not reeboot.',1,0,0,0,0
"Please don't assign bugs to yourself unless you are a developer who is going to fix it.",0,0,0,0,0
'Actual for Xenial',1,0,0,0,0
'I found this bug in 16.04.01 when installing in Virtual Box too.',1,0,0,0,0
'Marking invalid as far as webbrowser-app is concerned, as the issue has been determined to be in oxide.',0,0,0,0,1
'Please re-open if webbrowser-app still fails to start in unity8 on desktop after the issue has been addressed in oxide.',1,0,0,0,0
'updated to the 516 branch in ppa:ubuntu-security-proposed/ppa\nthe application still fails to come up, crashes immediately after being started, crash dump attached',1,0,0,0,0
'Could somebody please run this in gdb with oxideqt-dbg installed, and copy/paste the stack trace when it crashes in to this report?',0,0,0,0,0
"That's probably going to be quicker than me trying to get a usable Unity 8 session that I can debug this in",0,0,0,0,0
"Ok, I've tried to do this locally.",0,0,0,0,0
"I've tried running webbrowser-app in gdb from a terminal within unity8, but when it crashes I can no longer input anything in to the terminal (and I can only switch between apps occasionally as well).",1,0,0,0,0
"I've tried running tmux from within unity8 and then opening the tmux session on a tty to run webbrowser-app in gdb from there, but my machine instantly freezes when I do that, requiring a reboot.",1,0,0,0,0
"Status changed to 'Confirmed' because the bug affects multiple users.",0,0,0,0,1
"I think the reason this doesn't work is that the Mir EGL backend doesn't support pbuffer surfaces, and Chromium relies on this (although it doesn't actually draw to them - it creates a 1x1 pbuffer surface in order to bind the context)",1,0,0,1,0
'The remaining Oxide bug is fixed here: http://bazaar.launchpad.net/~oxide-developers/oxide/oxide.trunk/revision/599',0,0,0,0,1
'Can we use GL_OES_surfaceless_context?',0,1,0,0,0
'Ok, going to try and work around this in oxide',0,1,0,0,0
'Oxide now works in Unity 8 desktop with these changes:\nhttp://bazaar.launchpad.net/~oxide-developers/oxide/oxide.trunk/revision/599\nhttp://bazaar.launchpad.net/~oxide-developers/oxide/oxide.trunk/revision/600\nhttp://bazaar.launchpad.net/~oxide-developers/oxide/oxide.trunk/revision/601\nhttp://bazaar.launchpad.net/~oxide-developers/oxide/oxide.trunk/revision/602\nhttp://bazaar.launchpad.net/~oxide-developers/oxide/oxide.trunk/revision/603',0,1,0,0,0
'Backed out because of a regression in Unity 7 (bug 1327319)',0,0,0,0,0
'If everything goes according to plan, oxide 1.1 will be released to utopic this week.',0,0,0,0,1
'FYI Screen has a name property that corresponds to the display name on X11:\nhttp://qt-project.org/doc/qt-5/qscreen.html#name-prop\nhttp://qt-project.org/doc/qt-5/qml-qtquick-window-screen.html#name-prop',0,0,0,0,0
'We need this in C++.',0,1,0,0,0
'We can make a dependency towards qtgsettings and read the key value for the current monitor whenever GRID_UNIT_PX is not specified.',0,1,0,0,0
'Accessing gsettings on phone is blocked by app rights, so we should skip that for now.',1,1,0,0,0
"Florian's DPR patch would be needed to get the DPI per screen, however with X11we may get it done using QQuickScreen code.",0,1,0,0,0
'A note for myself to attach the bug to indicator-display-service to provide a dubs interface to read the screen info.',0,0,0,0,0
'Adding an apparmor-easyprof-ubuntu task since policy will need to be updated to allow confined apps to talk to this service.',0,1,0,0,0
'It is advisable that the person implementing this DBus API talk with the security team to make sure the chosen path will work without our confinement strategy.',0,1,0,0,0
'FYI Screen has a name property that corresponds to the display name on X11:\nhttp://qt-project.org/doc/qt-5/qscreen.html#name-prop\nhttp://qt-project.org/doc/qt-5/qml-qtquick-window-screen.html#name-prop',0,0,0,0,0
'We need this in C++.',0,1,0,0,0
'We can make a dependency towards qtgsettings and read the key value for the current monitor whenever GRID_UNIT_PX is not specified.',0,1,0,0,0
'Accessing gsettings on phone is blocked by app rights, so we should skip that for now.',1,1,0,0,0
"Florian's DPR patch would be needed to get the DPI per screen, however with X11we may get it done using QQuickScreen code.",0,1,0,0,0
'A note for myself to attach the bug to indicator-display-service to provide a dubs interface to read the screen info.',0,0,0,0,0
'Adding an apparmor-easyprof-ubuntu task since policy will need to be updated to allow confined apps to talk to this service.',0,1,0,0,0
'It is advisable that the person implementing this DBus API talk with the security team to make sure the chosen path will work without our confinement strategy.',0,1,0,0,0
'Thank you for taking the time to report this bug and helping to make Ubuntu better.',0,0,0,0,0
'It seems that your bug report is not filed about a specific source package though, rather it is just filed against Ubuntu in general.',0,0,0,0,0
'It is important that bug reports be filed about source packages so that people interested in the package can find the bugs about it.',0,0,0,0,0
'You can find some hints about determining what package your bug might be about at https://wiki.ubuntu.com/Bugs/FindRightPackage.',0,0,0,0,0
'You might also ask for help in the #ubuntu-bugs irc channel on Freenode.',0,0,0,0,0
'To change the source package that this bug is filed about visit https://bugs.launchpad.net/ubuntu/+bug/1448567/+editstatus and add the package name in the text box next to the word Package.',0,0,0,0,0
'[This is an automated message.',0,0,0,0,0
'I apologize if it reached you inappropriately; please just reply to this message indicating so.]',0,0,0,0,0
"Status changed to 'Confirmed' because the bug affects multiple users.",0,0,0,0,1
'Installed on a late 2014 Macbook pro, same chip, same issue with 15.04.',1,0,0,0,0
'Worked fine with 14.04',0,0,1,0,0
'HI,\njust wondering if there  is any update on this?',0,0,0,0,0
'Thanks',0,0,0,0,0
'I also have the same issue with Macbook Pro early 2015:\n\xa0$ lspci -vvnn | grep -A 9 Network                                   [17:15:14]\n03:00.0 Network controller [0280]: Broadcom Corporation Device [14e4:43ba] (rev 01)\n\xa0Subsystem: Apple Inc. Device [106b:0133]\n\xa0Control: I/O- Mem+ BusMaster+ SpecCycle- MemWINV- VGASnoop- ParErr- Stepping- SERR- FastB2B- DisINTx+\n\xa0Status: Cap+ 66MHz- UDF- FastB2B- ParErr- DEVSEL=fast >TAbort- SERR- \n\xa0Kernel driver in use: brcmfmac',0,0,0,0,0
'This is mentioned in an upstream bug at https://bugzilla.kernel.org/show_bug.cgi?id=100201',0,0,0,0,0
'https://github.com/ubuntu-core/snapcraft/pull/499',0,0,0,0,0
'Talking to mvo, he mentioned this should be a bug in apt or python-apt',1,0,0,0,0
"This bug was fixed in the package snapcraft - 2.8.8+16.10\n---------------\nsnapcraft (2.8.8+16.10) yakkety; urgency=medium\n\xa0\xa0* Create the 'partial' directory for apt.",0,0,0,0,1
'(#499) (LP: #1578007)\n\xa0-- Sergio Schvezov   Wed, 04 May 2016 14:22:58 -0300',0,0,0,0,0
'This is somewhat expected.',0,0,0,0,0
'The code to setup partial was deprecated in APT, we only set the Log in python-apt anymore.',0,0,0,0,1
'I think I need to provide a binding for GetLock(), which is now supposed to create the partial directory.',0,1,0,0,0
"To be precise: It's python-apt 1.1.0~beta2 that introduces the issue in commit e85512376356a769d540f09137a00012d8be7f2d.",1,0,0,0,0
'Hello Sergio, or anyone else affected,\nAccepted snapcraft into xenial-proposed.',0,1,0,0,0
'The package will build now and be available at https://launchpad.net/ubuntu/+source/snapcraft/2.8.8a in a few hours, and then in the -proposed repository.',0,1,0,0,0
'Please help us by testing this new package.',0,0,0,0,0
'See https://wiki.ubuntu.com/Testing/EnableProposed for documentation how to enable and use -proposed.',0,0,0,0,0
'Your feedback will aid us getting this update out to other Ubuntu users.',0,0,0,0,0
'If this package fixes the bug for you, please add a comment to this bug, mentioning the version of the package you tested, and change the tag from verification-needed to verification-done.',0,0,0,0,0
'If it does not fix the bug for you, please add a comment stating that, and change the tag to verification-failed.',0,0,0,0,0
'In either case, details of your testing will help us make a better decision.',0,0,0,0,0
'Further information regarding the verification process can be found at https://wiki.ubuntu.com/QATeam/PerformingSRUVerification .',0,0,0,0,0
'Thank you in advance!',0,0,0,0,0
'Tested in an up-to-date xenial system:\n- Enabled the proposed archive\n- updated snapcraft to 2.8.8a\n- build the mosquitto example.',0,1,0,0,0
'Works alright.',0,0,1,0,0
"The fix in the code will work in xenial and yakkety creating the directory when it's not there, and doing nothing when it is in there.",0,0,1,0,0
'Hello Sergio, or anyone else affected,\nAccepted snapcraft into xenial-proposed.',0,1,0,0,0
'The package will build now and be available at https://launchpad.net/ubuntu/+source/snapcraft/2.8.8b in a few hours, and then in the -proposed repository.',0,1,0,0,0
'Please help us by testing this new package.',0,0,0,0,0
'See https://wiki.ubuntu.com/Testing/EnableProposed for documentation how to enable and use -proposed.',0,0,0,0,0
'Your feedback will aid us getting this update out to other Ubuntu users.',0,0,0,0,0
'If this package fixes the bug for you, please add a comment to this bug, mentioning the version of the package you tested, and change the tag from verification-needed to verification-done.',0,0,0,0,0
'If it does not fix the bug for you, please add a comment stating that, and change the tag to verification-failed.',0,0,0,0,0
'In either case, details of your testing will help us make a better decision.',0,0,0,0,0
'Further information regarding the verification process can be found at https://wiki.ubuntu.com/QATeam/PerformingSRUVerification .',0,0,0,0,0
'Thank you in advance!',0,0,0,0,0
'OK, that should be easy to work on.',0,0,1,0,0
'Once I added a get_lock binding for GetLock(), I can change apt.Cache.fetch_archives() to call get_lock().',0,1,0,0,0
"It gets a bit more complex if a fetcher is passed in, I'm not sure what do about that - locking on a user-provided fetcher seems wrong to me - APT provides no method to unlock a fetcher.",1,1,0,1,0
"But let's just figure out the easy thing first, we can look at the other one later on.",0,0,0,0,0
'One more time:\nTested in an up-to-date xenial system:\n- Enabled the proposed archive\n- updated snapcraft to 2.8.8b\n- build the mosquitto example.',0,1,0,0,0
'Works alright.',0,0,1,0,0
'Marking as verification-done.',0,0,0,0,1
"This bug was fixed in the package snapcraft - 2.8.8b\n---------------\nsnapcraft (2.8.8b) xenial; urgency=medium\n\xa0\xa0[ Sergio Schvezov ]\n\xa0\xa0* Remove missing replacement for unittest.mock (#494) (LP: #1576998)\n\xa0\xa0* Create the 'partial' directory for apt.",0,1,0,0,1
"(#499) (LP: #1578007)\n\xa0\xa0* Don't fail if there is no system library list (#496) (LP: #1577750)\n\xa0\xa0* Don't clean target before extracting npm (#489) (LP: #1575876)\n\xa0\xa0* Don't delete the nodejs download on build.",0,1,0,0,0
'(#490) (LP: #1575882)\n\xa0\xa0[ Leo Arias ]\n\xa0\xa0* Import mock from unittest.',0,1,0,0,0
'(#492) (LP: #1576998)\n\xa0\xa0* autopkgtests: run the tests using the installed package (#464)\n\xa0\xa0\xa0\xa0(LP: #1570992)\n\xa0\xa0* Remove --allow-unauthenticated from examples tests (#482) (LP: #1573211)\n\xa0\xa0* Update the assertion of the example install (#483) (LP: #1573243)\n\xa0\xa0* Examples tests: Update the path to the snaps binaries (#484) (LP: #1573349)\n\xa0\xa0* Examples tests: use systemctl instead of the removed snap service (#485)\n\xa0\xa0\xa0\xa0(LP: #1573697)\n\xa0\xa0* Update the mosquitto example SNAP_USER_DATA path.',0,1,0,0,0
'(#486) (LP: #1574857)\n\xa0\xa0* Update the busybox test to use the snap data path.',0,1,0,0,0
'(LP: #1574901)\n\xa0\xa0* Remove the integration tests coverage.',0,1,0,0,0
'(#488) (LP: #1575383)\n\xa0\xa0[ Vincent Ladeuil ]\n\xa0\xa0* Make upload more robust by ignoring spurious errors while polling the\n\xa0\xa0\xa0\xa0scan status.',0,1,0,0,0
'(#480) (LP: #1572963)\n\xa0\xa0[ Kyle Fazzari ]\n\xa0\xa0* docs/get-started.md: Stop discussing snappy-tools.',0,1,0,0,0
