@relation rationale
@attribute sentence string
@attribute classification string
@data
'On the current kernels (2.6.32-16-generic and 2.6.32-17-generic), I am unable to boot.','relevant'
"Using the old kernel (2.6.31-19-generic), Ubuntu can boot but running 'startx' makes the system hang.",'relevant'
'Using vesa always fails.','relevant'
'Will try disabling DRI.','relevant'
'Disabling DRI did it for me, but only using the old (Karmic) kernel.','relevant'
'Including the (very minimal) configuration file for Teknics.','irrelevant'
"### Trying to test Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1\nI can't install Ubuntu GNOME 13.10 (Saucy Salamander) Beta 1 because X will not work with my graphics card.",'relevant'
'When I boot from the DVD, I see a screen that says Ubuntu 13.10, with a row of scrolling dots under it.','relevant'
'I expect this to happen and then for an xsession to start with the installer dialogue.','irrelevant'
'After a while, the screen goes blank and I Have to swith to a different TTY.','relevant'
'At the different TTY I can see login text, so I can only assume that X has failed to start the graphical session for my VGA card, which lspci identifies as:\nVGA compatible controller: VIA Technologies, Inc. KM400/KN400/P4M800 [S3 UniChrome] (rev 01)\nI would really like to test the new beta release, and especially the new Mir stuff.','relevant'
"Please let me know if I can provide information to help with this bug, and in the meantime, i'll look for a workround.",'irrelevant'
'Many thanks,\nChris.','irrelevant'
'my result of sort -u x.sorted.utf8 > x.sorted.uniq.utf8\nI do this in lucid and natty, got the same problem.','relevant'
'my x.diff file, sort -u erase 686 chinese characters.','irrelevant'
'If I set LANG to en_US.utf8, sort -u erase 2716 chinese characters.','irrelevant'
'See attachment please.','irrelevant'
'The reason is eglibc/glibc just supports CJK UNIFIED IDEOGRAPH (- ) defined in  iso10646:1993.','relevant'
'EGlibc/glibc lack support of CJK UNIFIED IDEOGRAPH A/B/C/D defined in iso10646:2011.','relevant'
'Sorry, lost a word.','irrelevant'
'EGlibc/glibc lack support of CJK UNIFIED IDEOGRAPH EXTENSION A/B/C/D defined in iso10646:2011.','relevant'
'CJK UNIFIED IDEOGRAPH EXTENSION A is included in GB18030:2005, and GB18030:2005 is the China locale standard.','irrelevant'
'All of the lost 686 Chinese characters locate in CJK UNIFIED IDEOGRAPH EXTENSION A block.','irrelevant'
'Created attachment 5880\nexample characters in CJK extension A.','irrelevant'
'Something is wrong in iso14651_t1_pinyin and iso14651_t1','relevant'
'This patch can fix this bug, when sort -u was executed in any LANG except for zh_CN.','relevant'
'There are 25496 Chinese characters in iso14651_t1_pinyin, most of them distribute over CJK unified ideographs and CJK unified ideographs extension A.','relevant'
'But there are 27552 Chinese characters in CJK unified ideographs and extension A, more than 2000 Chinese characters without pinyin were losted.','relevant'
'So my suggestion is just add the losted characters at the end of the iso14651_t1_pinyin, in the order of unicode.','relevant'
'Could you give me any feedback?','irrelevant'
"Status changed to 'Confirmed' because the bug affects multiple users.",'relevant'
'I get exactly the same messages as in comment #3.','irrelevant'
'This happens on an upgraded Oneiric, using a PPA (https://launchpad.net/~ferramroberto/+archive/minitube) for the Minitube version 1.6','relevant'
'Negative on that.','irrelevant'
'I have phonon installed here with the gstreamer backend.','relevant'
'Minitube really is complaining about a missing plug-in for the Quicktime protocol, not about a missing generic multimedia backend.','relevant'
'Ok, it works for me now\npuhhh :-)\nFound the solution in this thread https://bbs.archlinux.org/viewtopic.php?pid=951463#p951463\nsudo ln -s /usr/lib/gstreamer-0.10/libgstisomp4.so /usr/lib/gstreamer-0.10/libgstqtdemux.so\net voilà!','relevant'
'I upgraded from Ubuntu 11.04 to 11.10 on two machines, but only one machine was causing troubles with minitube.','relevant'
'And in addition, minitubes works out-of-the-box in a 11.10 LiveSystem.','relevant'
'Something must have been screwed up on my second machine...','irrelevant'
"It appears that 'gstreamer0.10-plugins-good' used to provide /usr/lib/gstreamer-0.10/libgstqtdemux.so until Natty.",'relevant'
'This is no longer the case since Oneiric and it breaks some user applications, as seen above with Minitube.','relevant'
"Status changed to 'Confirmed' because the bug affects multiple users.",'relevant'
'This issue has returned to Precise.','irrelevant'
'However, the workaround no longer works, because libgstisomp4.so has changed location:\n/usr/lib/i386-linux-gnu/gstreamer-0.10/libgstisomp4.so','relevant'
"Status changed to 'Confirmed' because the bug affects multiple users.",'relevant'
'I get exactly the same messages as in comment #3.','irrelevant'
'This happens on an upgraded Oneiric, using a PPA (https://launchpad.net/~ferramroberto/+archive/minitube) for the Minitube version 1.6','relevant'
'Negative on that.','irrelevant'
'I have phonon installed here with the gstreamer backend.','relevant'
'Minitube really is complaining about a missing plug-in for the Quicktime protocol, not about a missing generic multimedia backend.','relevant'
'Ok, it works for me now\npuhhh :-)\nFound the solution in this thread https://bbs.archlinux.org/viewtopic.php?pid=951463#p951463\nsudo ln -s /usr/lib/gstreamer-0.10/libgstisomp4.so /usr/lib/gstreamer-0.10/libgstqtdemux.so\net voilà!','relevant'
'I upgraded from Ubuntu 11.04 to 11.10 on two machines, but only one machine was causing troubles with minitube.','relevant'
'And in addition, minitubes works out-of-the-box in a 11.10 LiveSystem.','relevant'
'Something must have been screwed up on my second machine...','irrelevant'
"It appears that 'gstreamer0.10-plugins-good' used to provide /usr/lib/gstreamer-0.10/libgstqtdemux.so until Natty.",'relevant'
'This is no longer the case since Oneiric and it breaks some user applications, as seen above with Minitube.','relevant'
"Status changed to 'Confirmed' because the bug affects multiple users.",'relevant'
'This issue has returned to Precise.','irrelevant'
'However, the workaround no longer works, because libgstisomp4.so has changed location:\n/usr/lib/i386-linux-gnu/gstreamer-0.10/libgstisomp4.so','relevant'
'Sorry, I said getgroups in my original post, and I should have said getgrouplist.','irrelevant'
"Status changed to 'Confirmed' because the bug affects multiple users.",'relevant'
"Thank you for your bug report, that seems like the sort of issues that should be discussed upstream, somebody should report a bug on https://bugs.freedesktop.org/enter_bug.cgi?product=accountsservice\nWhile the issue is an important one it's limited to some big deployments and those can probably uninstall accountsservices (lightdm will fallback if it's not sure), ideally we would work on the issue but we have limited resources and it's not on the priority list",'relevant'
'Original report: https://bugs.launchpad.net/bugs/941673\nThe performance of accounts-daemon is unacceptable with large password and/or group files.','relevant'
'We have appoximately 40000 users in the passwords file and 16000 lines in the group file.','irrelevant'
'Having looked at the source, it appears to me the problem is that for each user is pulls from the password database (via getpwXXX)  its then calls getgrouplist to return the users list of groups.','relevant'
'Getgroups must make a complete pass through the group file to determine the groups for the user.','relevant'
'When initializing this results in\nreading the groups file 40000 times.','relevant'
'I think a better solution is to build a inverted group file map then first time getgroups is called by reading the entire group database and building a data structure indexed by username where a users group list can by found in a single lookup.','relevant'
'Of couse, an even better solution would be for getgroups to do that itself, but that would require much larger code changes.','relevant'
'I tried installed nscd to see if this would make a difference but no\ndice.','relevant'
'Thank you for your bug report.','irrelevant'
'This bug has been reported to the developers of the software.','irrelevant'
'You can track it and make comments at https://bugs.freedesktop.org/show_bug.cgi?id=48177','irrelevant'
'maybe we could just bail if there are greater than N found users.','relevant'
'The problem then is finding a suitable value of N.','relevant'
'Hi Guys,\nAs a workaround for the time being one could do the following (tested on 12.04):\nRemove accountsservice\nsudo apt-get remove accountsservice\nEdit /etc/lightdm/lightdm.conf and add the following line :\ngreeter-hide-users=true\nThen restart lightdm or reboot the machine:\nsudo service lightdm restart\nLeonardo Borda','relevant'
'FYI,\nI think I have a workaround for this problem by putting\nUID_MIN 9999999\ninto /etc/gdm/custom.conf\nThis seems fragile since I am not sure the interaction of accountsservices and custom.conf is stable or documented but it appears to solve the problem.','relevant'
'Of course, this is not a general solution for all sites, but happens to work for me.','relevant'
'Created attachment 65941\nproposed patch\nlimit the no of user listed by a-s to UID_MAX.','relevant'
'Also, sets user-limit to true when this condition is meet, allowing apps like gdm/lightdm to enable manual login option.','relevant'
'Talked with Ritesh about this bug today on IRC.','irrelevant'
"He's going to look into using fgetgrent to create the hash table of local groups and use that.",'relevant'
'Created attachment 66171\nproposed patch','relevant'
'ritz, any chance you could get this applying against master (preferably as a git-format-patch formatted patch) ?','irrelevant'
'Our setup is affected by this bug when the ldap server is offline.','relevant'
"What is the proper way to disable accounts service and 'fallback lightdm' ?",'relevant'
"I removed accountsservice and everything works fine except that a handful of packets depend on it (Ubuntu 10.04)\n* The following packages will be REMOVED:\n*  accountsservice gdm gnome-control-center indicator-datetime indicator-power language-selector-common\n* language-selector-gnome ubuntu-desktop ubuntu-standard\nI really don't see why all these dependencies exist.",'relevant'
"Isn't there supposed to be an alternative ?",'relevant'
'any updates on this?','irrelevant'
'On Fri, Jan 04, 2013 at 04:20:15PM -0000, Rstrode wrote:\n\n> any updates on this?','irrelevant'
'Errr...','irrelevant'
'I am not working on this.','irrelevant'
'I just reported it.','irrelevant'
'I managed a work around so the problem went away for me.','irrelevant'
'Regards,\npdg','irrelevant'
'Created attachment 74177\npatch\ninitial patch, against latest release.','relevant'
'still need to work quirk against entry_generator_wtmp.','relevant'
'It calls getpwnam for every entry ( even if it is a duplicate entry ).','relevant'
'any chance you could update this again for git master?','irrelevant'
'This bug is missing log files that will aid in diagnosing the problem.','irrelevant'
"From a terminal window please run:\napport-collect 1160543\nand then change the status of the bug to 'Confirmed'.",'relevant'
"If, due to the nature of the issue you have encountered, you are unable to run this command, please add a comment stating that fact and change the bug status to 'Confirmed'.",'relevant'
'This change has been made by an automated script, maintained by the Ubuntu Kernel Team.','irrelevant'
'Can you reproduce the crash, or was it a one time event?','irrelevant'
'If there is a somewhat reliable reproducer, we could try some patches.','irrelevant'
'I think this might be the same issue that is currently in the progress of getting patches pushed upstream [1]:\n* [PATCH 1/2] x86: mm: Fix vmalloc_fault oops during lazy MMU updates.','relevant'
'* [PATCH 2/2] mm/x86: Patch out arch_flush_lazy_mmu_mode() when running on bare metal\n[1] http://www.spinics.net/lists/stable/msg02839.html','relevant'
'apport information','irrelevant'
'apport information','irrelevant'
'apport information','irrelevant'
'apport information','irrelevant'
'apport information','irrelevant'
'apport information','irrelevant'
"Unrelated to this bug, but likely something Brad's bot should be aware of.",'irrelevant'
"I did:\n$ apport-collect 1160543\nYou need to run 'sudo apt-get install python-apport' for apport-collect to work.",'relevant'
'$ sudo apt-get install python-apport -y\n$ apport-collect 1160543\nERROR: The launchpadlib Python module is not installed.','relevant'
'This functionality is not available.','relevant'
'$ sudo apt-get install python-launchpadlib -y\n$ apport-collect 1160543\n*this* time it worked (surprisingly, 2 factor Oauth even worked through w3m!)','relevant'
'This change was made by a bot.','irrelevant'
'Tested with 3.14-rc6, crash occurred in about 1 hour.','relevant'
'This issue appears to be an upstream bug, since you tested the latest upstream kernel.','irrelevant'
'Would it be possible for you to open an upstream bug report[0]?','irrelevant'
'That will allow the upstream Developers to examine the issue, and may provide a quicker resolution to the bug.','irrelevant'
'Please follow the instructions on the wiki page[0].','irrelevant'
'The first step is to email the appropriate mailing list.','irrelevant'
'If no response is received, then a bug may be opened on bugzilla.kernel.org.','irrelevant'
"Once this bug is reported upstream, please add the tag: 'kernel-bug-reported-upstream'.",'irrelevant'
'[0] https://wiki.ubuntu.com/Bugs/Upstream/kernel','irrelevant'
'Submited upstream bug https://bugzilla.kernel.org/show_bug.cgi?id=72471','irrelevant'
'Is this issue resolved?','irrelevant'
'i am also facing crash in skb_push function while adding mac header in data .... can anyone help for this please .... :(','relevant'
'This bug has been reported on the Ubuntu ISO testing tracker.','irrelevant'
'A list of all reports related to this bug can be found here:\nhttp://iso.qa.ubuntu.com/qatracker/reports/bugs/1297851','relevant'
'I can also confirm this with Kubuntu + Virtual Box , even after the ISO is ejected from Virtual Box, the machine does not reboot.','relevant'
'This seems to be resolved with the newer iso image 20140326 but will keep the bug open and my eyes open for it cropping up again.','relevant'
'Setting importance to high because it affects not only uefi but all kind of system.','relevant'
'In VMs it sometimes reboots correctly but rarely.','relevant'
'When this fixed in 14.04 Trusty Tahr for 14.04.1 (24 July)?','irrelevant'
'Happened to me with an old PC previously with win xp, installed lubuntu from DVD, rebooted, asked to press enter, did so, did not reeboot.','relevant'
"Please don't assign bugs to yourself unless you are a developer who is going to fix it.",'irrelevant'
'Actual for Xenial','relevant'
'I found this bug in 16.04.01 when installing in Virtual Box too.','relevant'
'Marking invalid as far as webbrowser-app is concerned, as the issue has been determined to be in oxide.','relevant'
'Please re-open if webbrowser-app still fails to start in unity8 on desktop after the issue has been addressed in oxide.','relevant'
'updated to the 516 branch in ppa:ubuntu-security-proposed/ppa\nthe application still fails to come up, crashes immediately after being started, crash dump attached','relevant'
'Could somebody please run this in gdb with oxideqt-dbg installed, and copy/paste the stack trace when it crashes in to this report?','irrelevant'
"That's probably going to be quicker than me trying to get a usable Unity 8 session that I can debug this in",'irrelevant'
"Ok, I've tried to do this locally.",'irrelevant'
"I've tried running webbrowser-app in gdb from a terminal within unity8, but when it crashes I can no longer input anything in to the terminal (and I can only switch between apps occasionally as well).",'relevant'
"I've tried running tmux from within unity8 and then opening the tmux session on a tty to run webbrowser-app in gdb from there, but my machine instantly freezes when I do that, requiring a reboot.",'relevant'
"Status changed to 'Confirmed' because the bug affects multiple users.",'relevant'
"I think the reason this doesn't work is that the Mir EGL backend doesn't support pbuffer surfaces, and Chromium relies on this (although it doesn't actually draw to them - it creates a 1x1 pbuffer surface in order to bind the context)",'relevant'
'The remaining Oxide bug is fixed here: http://bazaar.launchpad.net/~oxide-developers/oxide/oxide.trunk/revision/599','relevant'
'Can we use GL_OES_surfaceless_context?','relevant'
'Ok, going to try and work around this in oxide','relevant'
'Oxide now works in Unity 8 desktop with these changes:\nhttp://bazaar.launchpad.net/~oxide-developers/oxide/oxide.trunk/revision/599\nhttp://bazaar.launchpad.net/~oxide-developers/oxide/oxide.trunk/revision/600\nhttp://bazaar.launchpad.net/~oxide-developers/oxide/oxide.trunk/revision/601\nhttp://bazaar.launchpad.net/~oxide-developers/oxide/oxide.trunk/revision/602\nhttp://bazaar.launchpad.net/~oxide-developers/oxide/oxide.trunk/revision/603','relevant'
'Backed out because of a regression in Unity 7 (bug 1327319)','irrelevant'
'If everything goes according to plan, oxide 1.1 will be released to utopic this week.','relevant'
'FYI Screen has a name property that corresponds to the display name on X11:\nhttp://qt-project.org/doc/qt-5/qscreen.html#name-prop\nhttp://qt-project.org/doc/qt-5/qml-qtquick-window-screen.html#name-prop','irrelevant'
'We need this in C++.','relevant'
'We can make a dependency towards qtgsettings and read the key value for the current monitor whenever GRID_UNIT_PX is not specified.','relevant'
'Accessing gsettings on phone is blocked by app rights, so we should skip that for now.','relevant'
"Florian's DPR patch would be needed to get the DPI per screen, however with X11we may get it done using QQuickScreen code.",'relevant'
'A note for myself to attach the bug to indicator-display-service to provide a dubs interface to read the screen info.','irrelevant'
'Adding an apparmor-easyprof-ubuntu task since policy will need to be updated to allow confined apps to talk to this service.','relevant'
'It is advisable that the person implementing this DBus API talk with the security team to make sure the chosen path will work without our confinement strategy.','relevant'
'FYI Screen has a name property that corresponds to the display name on X11:\nhttp://qt-project.org/doc/qt-5/qscreen.html#name-prop\nhttp://qt-project.org/doc/qt-5/qml-qtquick-window-screen.html#name-prop','irrelevant'
'We need this in C++.','relevant'
'We can make a dependency towards qtgsettings and read the key value for the current monitor whenever GRID_UNIT_PX is not specified.','relevant'
'Accessing gsettings on phone is blocked by app rights, so we should skip that for now.','relevant'
"Florian's DPR patch would be needed to get the DPI per screen, however with X11we may get it done using QQuickScreen code.",'relevant'
'A note for myself to attach the bug to indicator-display-service to provide a dubs interface to read the screen info.','irrelevant'
'Adding an apparmor-easyprof-ubuntu task since policy will need to be updated to allow confined apps to talk to this service.','relevant'
'It is advisable that the person implementing this DBus API talk with the security team to make sure the chosen path will work without our confinement strategy.','relevant'
'Thank you for taking the time to report this bug and helping to make Ubuntu better.','irrelevant'
'It seems that your bug report is not filed about a specific source package though, rather it is just filed against Ubuntu in general.','irrelevant'
'It is important that bug reports be filed about source packages so that people interested in the package can find the bugs about it.','irrelevant'
'You can find some hints about determining what package your bug might be about at https://wiki.ubuntu.com/Bugs/FindRightPackage.','irrelevant'
'You might also ask for help in the #ubuntu-bugs irc channel on Freenode.','irrelevant'
'To change the source package that this bug is filed about visit https://bugs.launchpad.net/ubuntu/+bug/1448567/+editstatus and add the package name in the text box next to the word Package.','irrelevant'
'[This is an automated message.','irrelevant'
'I apologize if it reached you inappropriately; please just reply to this message indicating so.]','irrelevant'
"Status changed to 'Confirmed' because the bug affects multiple users.",'relevant'
'Installed on a late 2014 Macbook pro, same chip, same issue with 15.04.','relevant'
'Worked fine with 14.04','relevant'
'HI,\njust wondering if there  is any update on this?','irrelevant'
'Thanks','irrelevant'
'I also have the same issue with Macbook Pro early 2015:\n\xa0$ lspci -vvnn | grep -A 9 Network                                   [17:15:14]\n03:00.0 Network controller [0280]: Broadcom Corporation Device [14e4:43ba] (rev 01)\n\xa0Subsystem: Apple Inc. Device [106b:0133]\n\xa0Control: I/O- Mem+ BusMaster+ SpecCycle- MemWINV- VGASnoop- ParErr- Stepping- SERR- FastB2B- DisINTx+\n\xa0Status: Cap+ 66MHz- UDF- FastB2B- ParErr- DEVSEL=fast >TAbort- SERR- \n\xa0Kernel driver in use: brcmfmac','irrelevant'
'This is mentioned in an upstream bug at https://bugzilla.kernel.org/show_bug.cgi?id=100201','irrelevant'
'https://github.com/ubuntu-core/snapcraft/pull/499','irrelevant'
'Talking to mvo, he mentioned this should be a bug in apt or python-apt','relevant'
"This bug was fixed in the package snapcraft - 2.8.8+16.10\n---------------\nsnapcraft (2.8.8+16.10) yakkety; urgency=medium\n\xa0\xa0* Create the 'partial' directory for apt.",'relevant'
'(#499) (LP: #1578007)\n\xa0-- Sergio Schvezov   Wed, 04 May 2016 14:22:58 -0300','irrelevant'
'This is somewhat expected.','irrelevant'
'The code to setup partial was deprecated in APT, we only set the Log in python-apt anymore.','relevant'
'I think I need to provide a binding for GetLock(), which is now supposed to create the partial directory.','relevant'
"To be precise: It's python-apt 1.1.0~beta2 that introduces the issue in commit e85512376356a769d540f09137a00012d8be7f2d.",'relevant'
'Hello Sergio, or anyone else affected,\nAccepted snapcraft into xenial-proposed.','relevant'
'The package will build now and be available at https://launchpad.net/ubuntu/+source/snapcraft/2.8.8a in a few hours, and then in the -proposed repository.','relevant'
'Please help us by testing this new package.','irrelevant'
'See https://wiki.ubuntu.com/Testing/EnableProposed for documentation how to enable and use -proposed.','irrelevant'
'Your feedback will aid us getting this update out to other Ubuntu users.','irrelevant'
'If this package fixes the bug for you, please add a comment to this bug, mentioning the version of the package you tested, and change the tag from verification-needed to verification-done.','irrelevant'
'If it does not fix the bug for you, please add a comment stating that, and change the tag to verification-failed.','irrelevant'
'In either case, details of your testing will help us make a better decision.','irrelevant'
'Further information regarding the verification process can be found at https://wiki.ubuntu.com/QATeam/PerformingSRUVerification .','irrelevant'
'Thank you in advance!','irrelevant'
'Tested in an up-to-date xenial system:\n- Enabled the proposed archive\n- updated snapcraft to 2.8.8a\n- build the mosquitto example.','relevant'
'Works alright.','relevant'
"The fix in the code will work in xenial and yakkety creating the directory when it's not there, and doing nothing when it is in there.",'relevant'
'Hello Sergio, or anyone else affected,\nAccepted snapcraft into xenial-proposed.','relevant'
'The package will build now and be available at https://launchpad.net/ubuntu/+source/snapcraft/2.8.8b in a few hours, and then in the -proposed repository.','relevant'
'Please help us by testing this new package.','irrelevant'
'See https://wiki.ubuntu.com/Testing/EnableProposed for documentation how to enable and use -proposed.','irrelevant'
'Your feedback will aid us getting this update out to other Ubuntu users.','irrelevant'
'If this package fixes the bug for you, please add a comment to this bug, mentioning the version of the package you tested, and change the tag from verification-needed to verification-done.','irrelevant'
'If it does not fix the bug for you, please add a comment stating that, and change the tag to verification-failed.','irrelevant'
'In either case, details of your testing will help us make a better decision.','irrelevant'
'Further information regarding the verification process can be found at https://wiki.ubuntu.com/QATeam/PerformingSRUVerification .','irrelevant'
'Thank you in advance!','irrelevant'
'OK, that should be easy to work on.','relevant'
'Once I added a get_lock binding for GetLock(), I can change apt.Cache.fetch_archives() to call get_lock().','relevant'
"It gets a bit more complex if a fetcher is passed in, I'm not sure what do about that - locking on a user-provided fetcher seems wrong to me - APT provides no method to unlock a fetcher.",'relevant'
"But let's just figure out the easy thing first, we can look at the other one later on.",'irrelevant'
'One more time:\nTested in an up-to-date xenial system:\n- Enabled the proposed archive\n- updated snapcraft to 2.8.8b\n- build the mosquitto example.','relevant'
'Works alright.','relevant'
'Marking as verification-done.','relevant'
"This bug was fixed in the package snapcraft - 2.8.8b\n---------------\nsnapcraft (2.8.8b) xenial; urgency=medium\n\xa0\xa0[ Sergio Schvezov ]\n\xa0\xa0* Remove missing replacement for unittest.mock (#494) (LP: #1576998)\n\xa0\xa0* Create the 'partial' directory for apt.",'relevant'
"(#499) (LP: #1578007)\n\xa0\xa0* Don't fail if there is no system library list (#496) (LP: #1577750)\n\xa0\xa0* Don't clean target before extracting npm (#489) (LP: #1575876)\n\xa0\xa0* Don't delete the nodejs download on build.",'relevant'
'(#490) (LP: #1575882)\n\xa0\xa0[ Leo Arias ]\n\xa0\xa0* Import mock from unittest.','relevant'
'(#492) (LP: #1576998)\n\xa0\xa0* autopkgtests: run the tests using the installed package (#464)\n\xa0\xa0\xa0\xa0(LP: #1570992)\n\xa0\xa0* Remove --allow-unauthenticated from examples tests (#482) (LP: #1573211)\n\xa0\xa0* Update the assertion of the example install (#483) (LP: #1573243)\n\xa0\xa0* Examples tests: Update the path to the snaps binaries (#484) (LP: #1573349)\n\xa0\xa0* Examples tests: use systemctl instead of the removed snap service (#485)\n\xa0\xa0\xa0\xa0(LP: #1573697)\n\xa0\xa0* Update the mosquitto example SNAP_USER_DATA path.','relevant'
'(#486) (LP: #1574857)\n\xa0\xa0* Update the busybox test to use the snap data path.','relevant'
'(LP: #1574901)\n\xa0\xa0* Remove the integration tests coverage.','relevant'
'(#488) (LP: #1575383)\n\xa0\xa0[ Vincent Ladeuil ]\n\xa0\xa0* Make upload more robust by ignoring spurious errors while polling the\n\xa0\xa0\xa0\xa0scan status.','relevant'
'(#480) (LP: #1572963)\n\xa0\xa0[ Kyle Fazzari ]\n\xa0\xa0* docs/get-started.md: Stop discussing snappy-tools.','relevant'
'(#454) (LP: #1568113)\n\xa0-- Sergio Schvezov   Fri, 29 Apr 2016 14:59:47 -0300','irrelevant'
'The verification of the Stable Release Update for snapcraft has completed successfully and the package has now been released to -updates.','relevant'
'Subsequently, the Ubuntu Stable Release Updates Team is being unsubscribed and will not receive messages about this bug report.','irrelevant'
'In the event that you encounter a regression using the package from -updates please report a new bug using ubuntu-bug and tag the bug report regression-update so we can easily find any regressions.','irrelevant'
'This bug is missing log files that will aid in diagnosing the problem.','irrelevant'
"From a terminal window please run:\napport-collect 1604058\nand then change the status of the bug to 'Confirmed'.",'irrelevant'
"If, due to the nature of the issue you have encountered, you are unable to run this command, please add a comment stating that fact and change the bug status to 'Confirmed'.",'irrelevant'
'This change has been made by an automated script, maintained by the Ubuntu Kernel Team.','irrelevant'
'This may be due to the following commit:\n6ad3777 xhci: Cleanup only when releasing primary hcd\nI built a test kernel with this commit reverted.','relevant'
'It can be downloaded from:\nhttp://kernel.ubuntu.com/~jsalisbury/lp1604058/\nCan you test this kernel and see if it resolves this bug?','relevant'
'Note that you need to install both the linux-image and linux-image-extra .deb packages.','relevant'
'confirming your kernel works,\nfwiw did you guys release it in between?','relevant'
'Hello Joseph,\nyour kernel resolves this bug.','relevant'
"I'v installed them in a ubuntu 16.04 guest running in a 5.1.0 virtualbox on a windows 7 host.",'irrelevant'
'The ubuntu guest, configured to use usb 3.0 xhci controller, now boots normally.','relevant'
'The guest can access usb memory sticks normally.','relevant'
'Kind regards,\nMartin','irrelevant'
'This bug also affected me, and the jsalisbury kernel fixed the problem.','relevant'
'This bug may be fixed by the following commit, which is already commited to Xenial master-next:\n47e41bd usb: xhci-plat: properly handle probe deferral for devm_clk_get()\nI built a Xenial master-next kernel which can be downloaded from:\nhttp://kernel.ubuntu.com/~jsalisbury/lp1604058/\nCan you test this kernel and see if it resolves this bug?','relevant'
'Note that you need to install both the linux-image and linux-image-extra .deb packages.','relevant'
"Joseph - the -32 kernel you built still suffers the problem\nfwiw - I cannot test more kernels, my time I can spend (as QA) on this bug is gone, please setup a vbox VM and test your builds (it's probably faster than updating this bug)\nxing the fingers (fwiw a link to code review/diff might spark more interest in me(I don't know how/where to lookup your changes), QA/QE is really something I am not good at, but then I can grok code ;) )\nL",'relevant'
"Yes, the 4.4.0-32.51~lp1604058masterNext kernel doesn't boot for me either.",'relevant'
'Hi,\nI tested your test kernels and everything is working: no boot hang and USB 3.0 hdds are working with the expected speed.','relevant'
'@Matthias, thanks for the positive test result.','irrelevant'
